Time, Voltage, PWM
584.961000, 0.000000, 75
585.587000, 0.000000, 75
586.181000, 0.000000, 75
586.826000, 0.000000, 75
587.480000, 0.000000, 75
588.152000, 0.000000, 75
588.793000, 0.000000, 75
589.449000, 0.000000, 75
590.067000, 0.000000, 75
590.788000, 0.000000, 75
591.428000, 0.000000, 75
592.037000, 0.000000, 75
592.610000, 0.000000, 75
593.175000, 0.000000, 75
593.762000, 0.000000, 75
594.340000, 0.000000, 75
594.955000, 0.000000, 75
595.580000, 0.000000, 75
596.211000, 0.000000, 75
596.845000, 0.000000, 75
597.461000, 0.000000, 75
598.068000, 0.000000, 75
598.705000, 0.000000, 75
599.348000, 0.000000, 75
599.935000, 0.000000, 75
600.579000, 0.000000, 75
601.193000, 0.000000, 75
601.774000, 0.000000, 75
602.420000, 0.000000, 75
603.120000, 0.000000, 75
603.767000, 0.000000, 75
604.399000, 0.000000, 75
605.056000, 0.000000, 75
605.625000, 0.000000, 75
606.182000, 0.000000, 75
606.850000, 0.000000, 75
607.424000, 0.000000, 75
608.086000, 0.000000, 75
608.808000, 0.000000, 75
609.378000, 0.000000, 75
609.939000, 0.000000, 75
610.608000, 0.000000, 75
611.190000, 0.000000, 75
611.738000, 0.000000, 75
612.417000, 0.000000, 75
612.990000, 0.000000, 75
613.527000, 0.000000, 75
614.223000, 0.000000, 75
614.921000, 0.000000, 75
615.530000, 0.000000, 75
